"ds","Actual","Fitted","Error","AbsError","SqError","PctError","AbsPctError"
2017-05-01,119,118.8387223672,0.161277632800093,0.161277632800093,0.0260104748416017,0.135527422521087,0.135527422521087
2017-06-01,118.7,119.183250729673,-0.483250729672562,0.483250729672562,0.233531267729064,-0.407119401577559,0.407119401577559
2017-07-01,118.7,119.377328889948,-0.677328889948356,0.677328889948356,0.458774425158672,-0.570622485213442,0.570622485213442
2017-08-01,119.8,119.669569501448,0.130430498552073,0.130430498552073,0.0170121149525423,0.108873538023433,0.108873538023433
2017-09-01,120.1,119.856250010689,0.243749989311198,0.243749989311198,0.059414057289209,0.202955861208324,0.202955861208324
2017-10-01,120,120.1263878007,-0.126387800699632,0.126387800699632,0.0159738761656899,-0.105323167249693,0.105323167249693
2017-11-01,120.8,120.46822317755,0.331776822450038,0.331776822450038,0.110075859915044,0.274649687458641,0.274649687458641
2017-12-01,120.9,120.710009383968,0.189990616031778,0.189990616031778,0.0360964341801346,0.15714691152339,0.15714691152339
2018-01-01,121.3,121.090732216304,0.209267783696021,0.209267783696021,0.0437930052930445,0.172520843937362,0.172520843937362
2018-02-01,121.3,121.138113206227,0.161886793773121,0.161886793773121,0.026207333998141,0.133459846474131,0.133459846474131
2018-03-01,120.9,120.828818874735,0.0711811252648147,0.0711811252648147,0.00506675259396524,0.0588760341313604,0.0588760341313604
2018-04-01,120.9,120.622213173091,0.277786826908908,0.277786826908908,0.0771655212041198,0.229765779080983,0.229765779080983
2018-05-01,121.1,120.588685498838,0.511314501161706,0.511314501161706,0.261442519098245,0.422225021603391,0.422225021603391
2018-06-01,119.6,120.430193354299,-0.830193354298757,0.830193354298757,0.689221005521821,-0.694141600584245,0.694141600584245
2018-07-01,119.8,120.383216152262,-0.583216152262054,0.583216152262054,0.340141080259355,-0.486824834943284,0.486824834943284
2018-08-01,120,120.37004208289,-0.370042082890336,0.370042082890336,0.136931143109818,-0.308368402408613,0.308368402408613
2018-09-01,120.5,120.391879376832,0.108120623168332,0.108120623168332,0.0116900691543086,0.0897266582309813,0.0897266582309813
2018-10-01,120.7,120.586770836603,0.113229163396639,0.113229163396639,0.0128208434435028,0.0938104087793197,0.0938104087793197
2018-11-01,121,120.865897223359,0.134102776640617,0.134102776640617,0.0179835547027232,0.110828741025303,0.110828741025303
2018-12-01,121.1,121.022652198675,0.0773478013247626,0.0773478013247626,0.00598268236977495,0.0638710167834538,0.0638710167834538
2019-01-01,120.5,121.128790874705,-0.628790874704734,0.628790874704734,0.395377964111944,-0.521818153281937,0.521818153281937
2019-02-01,120.8,121.209763527757,-0.409763527757207,0.409763527757207,0.167906148680031,-0.339208218342059,0.339208218342059
2019-03-01,121.1,121.065800591442,0.0341994085580666,0.0341994085580666,0.00116959954572156,0.0282406346474538,0.0282406346474538
2019-04-01,121.1,121.328041108959,-0.228041108959175,0.228041108959175,0.0520027473753304,-0.188308099883712,0.188308099883712
2019-05-01,121.4,121.484206830454,-0.0842068304540078,0.0842068304540078,0.00709079029511001,-0.0693631222850147,0.0693631222850147
2019-06-01,121.4,121.441144561352,-0.0411445613524251,0.0411445613524251,0.00169287492888347,-0.0338917309328048,0.0338917309328048
2019-07-01,121.5,121.615547027352,-0.115547027352108,0.115547027352108,0.0133511155299087,-0.0951004340346564,0.0951004340346564
2019-08-01,121.8,121.774796914277,0.0252030857233763,0.0252030857233763,0.000635195529979852,0.0206921886070413,0.0206921886070413
